branch_id,branch_name,tipo_operacao,etapa_campanha,numeros_da_sorte
112545, CENTRO EDUCACIONAL CAMPELO,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
105953,1ª Opção Colégio e Curso - Unidade João Pessoa,Autosserviço,Não atingiu requisito mínimo,0
109871,9 de Junho Baby,Autosserviço,Não atingiu requisito mínimo,0
27063,A Chave do Saber,Autosserviço,Atingiu requisito mínimo + CR,2
5127,ABMSA - Colégio Nossa Senhora das Mercês | NITERÓI,Autosserviço,Atingiu requisito mínimo,1
27131,ABMSA - INSTITUTO SANTO ANTONIO | PAVUNA,Autosserviço,Atingiu requisito mínimo,1
111637,ADOLETA ESPACO DE EDUCACAO INFANTIL LTDA ME,Autosserviço,Não atingiu requisito mínimo,0
112542,ASSOCIACAO RAIZ DE DAVI,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,2
111077,ASSOCIAÇÃO CRISTÃ DE UBERABA,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,4
111078,ASTER COLEGIO,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,4
106974,Academico Pituba,Autosserviço,Não atingiu requisito mínimo,0
111267,Acalanto Desenvolvimento Infantil,Autosserviço,Atingiu requisito mínimo + isaac Score,2
5,Alternativo Acre,Autosserviço,Não atingiu requisito mínimo,0
11956,Alternativo Colégio e Curso -  Itabaiana,Autosserviço,Não atingiu requisito mínimo,0
18980,Alternativo Colégio e Curso -  Itabaiana Unid 2,Autosserviço,Não atingiu requisito mínimo,0
107459,Ananda Escola e Centro de Estudos,Autosserviço,Não atingiu requisito mínimo,0
8139,Anglo - Jardinópolis,Autosserviço,Não atingiu requisito mínimo,0
111539,Anglo Votuporanga,Autosserviço,Atingiu requisito mínimo + CR,2
105131,Aquarela Colegio,Autosserviço,Atingiu requisito mínimo + CR,2
7,Arte de Conhecer,Autosserviço,Não atingiu requisito mínimo,0
109614,Arte de Crescer,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
105499,Arte do Ensino,Autosserviço,Atingiu requisito mínimo + isaac Score,3
113078,Associação Projeto de Apoio Social Modelo,Autosserviço,Não atingiu requisito mínimo,0
111081,Associação de ensino e desenvolvimento Matre,Autosserviço,Não atingiu requisito mínimo,0
26032,Athena centro educacional,Autosserviço,Não atingiu requisito mínimo,0
27573,Athos,Autosserviço,Não atingiu requisito mínimo,0
108672,Athos - GO,Autosserviço,Não atingiu requisito mínimo,0
107,Atitude RB,Autosserviço,Não atingiu requisito mínimo,0
246,Atual Cursos,Autosserviço,Não atingiu requisito mínimo,0
111443,Atual School Natal 		,Autosserviço,Não atingiu requisito mínimo,0
109532,Avance Colégio e Cursos Preparatórios,Autosserviço,Não atingiu requisito mínimo,0
106962,Ação Social São Sebastião de Bento Ribeiro - Colégio João XXIII (RJ),Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
20903,Ação e Objetivo,Autosserviço,Não atingiu requisito mínimo,0
105812,BEK - Buritis Espaço Kids,Autosserviço,Não atingiu requisito mínimo,0
107914,Batista Moriah,Autosserviço,Atingiu requisito mínimo + CR,2
108963,Berçário Escola Objetivo da Vida,Autosserviço,Atingiu requisito mínimo + isaac Score,2
108454,Berçário e Escola HB,Autosserviço,Não atingiu requisito mínimo,0
10740,Bethel Educacional,Autosserviço,Atingiu requisito mínimo + CR,3
107758,Bora Passar (Colégio e Cursinho),Autosserviço,Não atingiu requisito mínimo,0
108879,Brincando e Aprendendo - Inhumas,Autosserviço,Não atingiu requisito mínimo,0
110342,C E Pequeno Príncipe | Cametá,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
112656,C EDUC INF POUSO ALEGRE,Autosserviço,Atingiu requisito mínimo,1
108550,C L B Castro Ensino Fundamental,Autosserviço,Atingiu requisito mínimo + isaac Score,3
27736,C. E. Aparecida Pinheiro,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,5
26297,C. E. João Paulo II,Autosserviço,Não atingiu requisito mínimo,0
104660,C. E. Silvana Ferreira,Autosserviço,Não atingiu requisito mínimo,0
104999,C. E. Souza Ferreira,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
106469,C.E. Príncipe da Paz,Autosserviço,Não atingiu requisito mínimo,0
110369,CAHSI ESCOLA,Autosserviço,Atingiu requisito mínimo + isaac Score,3
111781,CANTINHO DO APRENDIZ CEIEF,Autosserviço,Não atingiu requisito mínimo,0
104470,CAP- Centro de Atividades Pedagógicas,Autosserviço,Não atingiu requisito mínimo,0
110569,CEAI - ULIANOPOLIS,Autosserviço,Não atingiu requisito mínimo,0
22570,CEC Olivier Furtado,Autosserviço,Atingiu requisito mínimo + CR,2
107838,CECA - Centro Educacional Cremilda Azevedo,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,4
105184,CEDUC Seiva Pura,Autosserviço,Atingiu requisito mínimo,2
22016,CEFEM - Centro Educacional Fonseca e Martins,Autosserviço,Atingiu requisito mínimo + CR,2
25382,CEI,Autosserviço,Não atingiu requisito mínimo,0
110154,CEI - Centro Educacional Infantil Juvenil - Ribeira do Pombal/BA,Autosserviço,Não atingiu requisito mínimo,0
104432,CEI Acalanto,Autosserviço,Não atingiu requisito mínimo,0
24900,CEIC - Centro Educacional Ivanilson Costa,Autosserviço,Não atingiu requisito mínimo,0
108477,"CEIG - Centro de Educação Infantil, Fundamental e Médio Girassol",Autosserviço,Não atingiu requisito mínimo,0
111271,CEJA - Centro de Ensino de Jacarepaguá,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
105873,CEJA - Nilópolis,Autosserviço,Não atingiu requisito mínimo,0
109106,CEKOKA - Centro Educacional Kort - Kamp,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
23180,CELF - Centro Educacional Larissa Fernandes,Autosserviço,Não atingiu requisito mínimo,0
28215,CEMA negócio,Autosserviço,Não atingiu requisito mínimo,0
110195,CEMI - Matriz,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
110202,CENPPRI - CENTRO EDUCACIONAL PEQUENO PRINCIPE,Autosserviço,Atingiu requisito mínimo + isaac Score + CR,3
113256,CENTRO DE EDUCACAO BASICA PADRE JOSE MARIA DE AGUIAR,Autosserviço,Atingiu requisito mínimo + isaac Score,2
